TIME,VOLT1,VOLT2,VOLT3,VOLT4,CURR1,CURR2,CURR3,CURR4
0,42,42,-42.0004,42,5.6585E-06,6.4425E-06,-1.08531E-05,1.677E-06
1,42,42,-42,42,2.6744E-06,4.8313E-06,-9.401E-07,4.105E-07
2,42,42,-42,42,2.4248E-06,4.7857E-06,-8.336E-07,3.109E-07
3,42,42,-42,42,2.339E-06,4.7671E-06,-8.174E-07,2.842E-07
4,42,42,-42,42,2.2987E-06,4.7494E-06,-8.073E-07,2.736E-07
5,42,42,-42,42,2.276E-06,4.7338E-06,-8.009E-07,2.673E-07
6,42,42,-42,42,2.2593E-06,4.7214E-06,-7.963E-07,2.645E-07
7,42,42,-42,42,2.2465E-06,4.7111E-06,-7.935E-07,2.643E-07
8,42,42,-42,42,2.2349E-06,4.7016E-06,-7.915E-07,2.636E-07
9,42,42,-42,42,2.2249E-06,4.6925E-06,-7.912E-07,2.649E-07
10,42,42,-42,42,2.2143E-06,4.6851E-06,-7.851E-07,2.656E-07
11,42,42,-42,42,2.205E-06,4.6784E-06,-7.886E-07,2.664E-07
12,42,42,-42,42,2.1972E-06,4.6755E-06,-7.833E-07,2.665E-07
13,42,42,-42,42,2.1867E-06,4.6703E-06,-7.806E-07,2.67E-07
14,42,42,-42,42,2.1804E-06,4.6684E-06,-7.801E-07,2.682E-07
15,42,42,-42,42,2.174E-06,4.6661E-06,-7.779E-07,2.68E-07
16,42,42,-42,42,2.1677E-06,4.6624E-06,-7.768E-07,2.695E-07
17,42,42,-42,42,2.1647E-06,4.6615E-06,-7.745E-07,2.693E-07
18,42,42,-42,42,2.1621E-06,4.6584E-06,-7.721E-07,2.708E-07
19,42,42,-42,42,2.1618E-06,4.6566E-06,-7.737E-07,2.724E-07
20,42,42,-42,42,2.1549E-06,4.6529E-06,-7.712E-07,2.738E-07
21,42,42,-42,42,2.1489E-06,4.6458E-06,-7.709E-07,2.746E-07
22,42,42,-42,42,2.1403E-06,4.6445E-06,-7.703E-07,2.763E-07
23,42,42,-42,42,2.1367E-06,4.6475E-06,-7.706E-07,2.756E-07
24,42,42,-42,42,2.1341E-06,4.6513E-06,-7.717E-07,2.76E-07
25,42,42,-42,42,2.1303E-06,4.6485E-06,-7.707E-07,2.765E-07
26,42,42,-42,42,2.1301E-06,4.6486E-06,-7.709E-07,2.765E-07
27,42,42,-42,42,2.1279E-06,4.6451E-06,-7.679E-07,2.759E-07
28,42,42,-42,42,2.127E-06,4.6418E-06,-7.669E-07,2.758E-07
29,42,42,-42,42,2.1307E-06,4.6348E-06,-7.651E-07,2.757E-07
30,42,42,-42,42,2.1354E-06,4.6291E-06,-7.627E-07,2.747E-07
31,42,42,-42,42,2.1397E-06,4.625E-06,-7.621E-07,2.743E-07
32,42,42,-42,42,2.1422E-06,4.6184E-06,-7.614E-07,2.742E-07
33,42,42,-42,42,2.1452E-06,4.6111E-06,-7.595E-07,2.734E-07
34,42,42,-42,42,2.1457E-06,4.6053E-06,-7.58E-07,2.738E-07
35,42,42,-42,42,2.1445E-06,4.601E-06,-7.551E-07,2.725E-07
36,42,42,-42,42,2.1425E-06,4.5973E-06,-7.54E-07,2.72E-07
37,42,42,-42,42,2.1412E-06,4.5927E-06,-7.546E-07,2.713E-07
38,42,42,-42,42,2.1404E-06,4.5882E-06,-7.548E-07,2.701E-07
39,42,42,-42,42,2.1345E-06,4.5856E-06,-7.551E-07,2.69E-07
40,42,42,-42,42,2.1329E-06,4.5808E-06,-7.54E-07,2.683E-07
41,42,42,-42,42,2.1284E-06,4.5778E-06,-7.536E-07,2.676E-07
42,42,42,-42,42,2.1231E-06,4.5764E-06,-7.533E-07,2.673E-07
43,42,42,-42,42,2.1224E-06,4.574E-06,-7.532E-07,2.668E-07
44,42,42,-42,42,2.127E-06,4.5692E-06,-7.544E-07,2.659E-07
45,42,42,-42,42,2.1333E-06,4.5682E-06,-7.553E-07,2.65E-07
46,42,42,-42,42,2.1391E-06,4.5675E-06,-7.552E-07,2.655E-07
47,42,42,-42,42,2.1409E-06,4.5674E-06,-7.556E-07,2.638E-07
48,42,42,-42,42,2.1428E-06,4.5669E-06,-7.55E-07,2.638E-07
49,42,42,-42,42,2.142E-06,4.5656E-06,-7.537E-07,2.638E-07
50,42,42,-42,42,2.1453E-06,4.5614E-06,-7.573E-07,2.627E-07
51,42,42,-42,42,2.147E-06,4.5553E-06,-7.577E-07,2.62E-07
52,42,42,-42,42,2.149E-06,4.5499E-06,-7.605E-07,2.619E-07
53,42,42,-42,42,2.1516E-06,4.5455E-06,-7.635E-07,2.622E-07
54,42,42,-42,42,2.1546E-06,4.5428E-06,-7.657E-07,2.618E-07
55,42,42,-42,42,2.1548E-06,4.54E-06,-7.675E-07,2.614E-07
56,42,42,-42,42,2.1576E-06,4.5353E-06,-7.697E-07,2.608E-07
57,42,42,-42,42,2.1568E-06,4.532E-06,-7.696E-07,2.599E-07
58,42,42,-42,42,2.154E-06,4.529E-06,-7.711E-07,2.596E-07
59,42,42,-42,42,2.1506E-06,4.5261E-06,-7.7E-07,2.599E-07
60,42,42,-42,42,2.1468E-06,4.5245E-06,-7.703E-07,2.591E-07
61,42,42,-42,42,2.1439E-06,4.5212E-06,-7.697E-07,2.591E-07
62,42,42,-42,42,2.1389E-06,4.5179E-06,-7.695E-07,2.588E-07
63,42,42,-42,42,2.1348E-06,4.5162E-06,-7.686E-07,2.58E-07
64,42,42,-42,42,2.129E-06,4.5155E-06,-7.676E-07,2.581E-07
65,42,42,-42,42,2.1256E-06,4.5144E-06,-7.687E-07,2.57E-07
66,42,42,-42,42,2.1212E-06,4.5137E-06,-7.652E-07,2.563E-07
67,42,42,-42,42,2.1164E-06,4.5129E-06,-7.625E-07,2.571E-07
68,42,42,-42,42,2.1118E-06,4.5111E-06,-7.58E-07,2.569E-07
69,42,42,-42,42,2.1063E-06,4.5099E-06,-7.551E-07,2.563E-07
70,42,42,-42,42,2.1032E-06,4.5088E-06,-7.51E-07,2.565E-07
71,42,42,-42,42,2.1007E-06,4.5066E-06,-7.488E-07,2.574E-07
72,42,42,-42,42,2.0964E-06,4.5056E-06,-7.457E-07,2.575E-07
73,42,42,-42,42,2.0906E-06,4.5024E-06,-7.437E-07,2.578E-07
74,42,42,-42,42,2.0862E-06,4.4993E-06,-7.396E-07,2.575E-07
75,42,42,-42,42,2.0828E-06,4.4963E-06,-7.364E-07,2.582E-07
76,42,42,-42,42,2.0806E-06,4.4943E-06,-7.325E-07,2.572E-07
77,42,42,-42,42,2.075E-06,4.4936E-06,-7.275E-07,2.579E-07
78,42,42,-42,42,2.0721E-06,4.4904E-06,-7.22E-07,2.57E-07
79,42,42,-42,42,2.0681E-06,4.488E-06,-7.179E-07,2.586E-07
80,42,42,-42,42,2.065E-06,4.4872E-06,-7.148E-07,2.591E-07
81,42,42,-42,42,2.0628E-06,4.4859E-06,-7.128E-07,2.595E-07
82,42,42,-42,42,2.0605E-06,4.4836E-06,-7.124E-07,2.598E-07
83,42,42,-42,42,2.0579E-06,4.4812E-06,-7.136E-07,2.605E-07
84,42,42,-42,42,2.0573E-06,4.48E-06,-7.1E-07,2.609E-07
85,42,42,-42,42,2.0566E-06,4.4791E-06,-7.087E-07,2.603E-07
86,42,42,-42,42,2.0552E-06,4.4786E-06,-7.076E-07,2.607E-07
87,42,42,-42,42,2.0539E-06,4.4782E-06,-7.066E-07,2.604E-07
88,42,42,-42,42,2.0521E-06,4.4775E-06,-7.054E-07,2.628E-07
89,42,42,-42,42,2.0507E-06,4.4758E-06,-7.038E-07,2.633E-07
90,42,42,-42,42,2.0486E-06,4.4751E-06,-7.053E-07,2.655E-07
91,42,42,-42,42,2.0445E-06,4.476E-06,-7.097E-07,2.669E-07
92,42,42,-42,42,2.0433E-06,4.4764E-06,-7.088E-07,2.687E-07
93,42,42,-42,42,2.0404E-06,4.4774E-06,-7.124E-07,2.701E-07
94,42,42,-42,42,2.0388E-06,4.4769E-06,-7.143E-07,2.715E-07
95,42,42,-42,42,2.0366E-06,4.4772E-06,-7.157E-07,2.742E-07
96,42,42,-42,42,2.0347E-06,4.477E-06,-7.187E-07,2.763E-07
97,42,42,-42,42,2.0338E-06,4.4759E-06,-7.202E-07,2.781E-07
98,42,42,-42,42,2.0327E-06,4.4761E-06,-7.201E-07,2.792E-07
99,42,42,-42,42,2.0325E-06,4.4746E-06,-7.218E-07,2.833E-07
100,42,42,-42,42,2.0294E-06,4.4727E-06,-7.228E-07,2.834E-07
